id,display_name,price,type,efficiency,wattage,modular,colour
b32c0c54-b369-4637-acc0-cb9eb14ffbf5,Cooler Master V SFX Platinum,256.73,SFX,platinum,1100,Full,Black
14165084-8264-4ba2-8c74-1849f0c7cac8,EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
703b4bad-2505-4425-84be-529704d9512f,Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
5a2ff18b-eba5-467d-bfe6-606324e83293,Enermax REVOLUTION D.F. 2,129.99,ATX,gold,1050,Full,Black
75d6e164-25e8-4023-aa19-9f0ca7467b6d,Corsair CV450,,ATX,bronze,450,False,Black
6d657125-a9a2-4ad7-b945-05768bf30929,Corsair HX1000 Platinum,254.99,ATX,platinum,1000,Full,
81569ab1-4a9e-4fa3-b6ea-a21d0cc032ac,EVGA 650 BQ,134.97,ATX,bronze,650,Semi,
dbfc7b7c-bce5-4cdc-b7b3-f505023b71d6,Logisys PS480D2,16.98,ATX,,480,False,
f91b4fa6-7c2c-425b-b4c1-5e49a2d0d863,Corsair RM750x (2018),168.99,ATX,gold,750,Full,Black
ab148ff0-07bd-410f-964b-543448344fe8,ARESGAME AGV,,ATX,bronze,650,False,Black
500225ff-48dc-4f6b-8259-0510187577f6,be quiet! System Power 9 500 CM,123.32,ATX,bronze,500,Semi,Black
d849ff6d-4ff7-479f-bad4-829972639f6e,EVGA SuperNOVA 850 G5,134.99,ATX,gold,850,Full,Black / Green
28ac12ed-4f63-4984-b249-8f96969020ea,Thermaltake Smart Pro RGB,81.45,ATX,bronze,650,Full,
f2c8d2ec-7ad4-4b35-8f36-aca01d4a3faf,be quiet! System Power 10,195.28,ATX,gold,850,False,Black
b3a7b671-74e4-4c78-9f14-5d7bf3eae929,ADATA XPG CORE Reactor 650,89.99,ATX,gold,650,Full,Black
bfb3acc4-e094-4a74-b9da-bdd8f0d324a9,Thermaltake Toughpower GF A3 - TT Premium Edition,139.99,ATX,gold,1050,Full,Black
40c7e8d0-bdfe-456c-a4a8-cecc856ddf62,Silverstone SFX,110.88,SFX,gold,500,Full,
ed498e51-90bc-4547-a9d8-233ff8c9c0c5,Corsair RMe (2023),179.99,ATX,gold,1200,Full,Black
bcdf3380-37d1-41c4-a632-80c9f35f02b3,SeaSonic FOCUS PX,189.99,ATX,platinum,850,Full,Black
f25e8724-54a9-4160-ab84-f58d5a2f89bf,ADATA XPG PYLON,75.89,ATX,bronze,650,False,Black
f0be74a4-78a6-45f2-ac97-dba369e05bb0,be quiet! Dark Power 13,249.9,ATX,titanium,850,Full,Black
d9832404-8885-406b-8a2c-020958b7b6a8,Corsair CX550M,236.0,ATX,bronze,550,Semi,
f0fac1a8-e19a-4cd2-a50e-f93ea0ca2f05,Corsair RM850x (2018),144.99,ATX,gold,850,Full,Black
54a58c76-753e-4dcf-8f3c-1ac2c221ab73,Cooler Master V750 Gold i,138.68,ATX,gold,750,Full,Black / Gold
8afb4308-b5c6-4b22-8502-ccc12c26a924,Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
4480273e-f3eb-44cc-83c1-a42fcad80245,EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full,Black / Green
4ef083a8-57f7-4cb1-aecb-be97f2924885,be quiet! Straight Power 11 750W,135.99,ATX,gold,750,Full,
f5ac0683-dc26-47b4-a23a-d6ff05a8b429,Thermaltake Toughpower GF A3 - TT Premium Edition,104.99,ATX,gold,850,Full,Black
92da35da-af8c-46e5-bf98-0b2b4515134d,Cooler Master MWE Bronze V2,,ATX,bronze,750,False,Black
47572478-5466-4221-9455-c7bc3e0b2d4e,MSI MEG Ai1000P PCIE5,267.44,ATX,platinum,1000,Full,Black / Copper
d7d7df2d-0bda-4781-a836-390121ae5376,Asus ROG THOR P2 Gaming,159.99,ATX,platinum,850,Full,Black / Silver
3f72514e-1525-49ec-9227-781ac1c541a7,EVGA 550 B5,151.66,ATX,bronze,550,Full,Black
0751fdfb-0ee8-48c2-b7ca-3222b9134967,be quiet! System Power 10,144.0,ATX,bronze,550,False,Black
b6420b4e-7f7d-401a-957a-f23b555247f4,SeaSonic G12 GM,123.6,ATX,gold,650,Semi,Black / Blue
df071cd0-763d-45a9-a9ea-18b6eded423f,Rosewill HIVE,85.99,ATX,bronze,850,Full,
d88ed539-7eba-49f1-982f-6aca4779468f,SeaSonic FOCUS,147.98,ATX,gold,850,Semi,Black
fbb43d81-a63f-4860-bdc0-6a23d6705621,Corsair RM650x (2018),179.27,ATX,gold,650,Full,Black / Silver
