id,display_name,price,capacity,type,cache_size,form_factor,interface
acf53d69-4b21-47be-9286-c9f56905f8d8,TEAMGROUP QX,76.98,2000.0,SSD,,2.5,SATA 6.0 Gb/s
c503dbbe-f5aa-4d0a-9376-7bb310d015cb,Seagate IronWolf Pro,134.97,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s
85393522-aa5a-4239-9bf3-f6b9e9542756,Kingston A400,23.5,120.0,SSD,,2.5,SATA 6.0 Gb/s
89a169cc-cade-430a-97fc-09902db0dc13,Kingston NV2,29.95,250.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
0ab6e588-3784-4441-9047-0063bec549ae,Patriot P300,15.49,128.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
a7590771-7b7d-477e-a7c7-90b5ee21a8dc,MSI SPATIUM M450,29.99,500.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
971b074c-5dff-482e-8f3f-1e13c831ed16,Crucial T700 W/Heatsink,284.99,2000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
78c092a0-2fe3-46ca-84fe-19e8325dee4c,TEAMGROUP T-Force Vulcan Z,40.99,1000.0,SSD,,2.5,SATA 6.0 Gb/s
7dc496b2-fdd4-446d-b022-f05da8cf9c5c,Mushkin Vortex Redline,97.99,2000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
ad02b5f6-01de-45b9-bdf0-3d642422677d,Samsung 970 Evo,,500.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
9f1f0ca4-0f21-4f3c-9bd7-a72bc87acdd5,Western Digital Black SN750,103.55,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
44de6506-7e06-4558-a53a-2ea1defcc1a1,KIOXIA EXCERIA G2,,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
7ee18cec-9915-45d4-9152-33a44de58acb,Western Digital Red,73.48,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s
221d2b4b-9722-4ec1-a7e3-8315e9d9cbd0,Samsung 870 QVO,59.99,1000.0,SSD,,2.5,SATA 6.0 Gb/s
d655b954-e816-4673-96b6-8caa0edced90,Western Digital Blue SN550,119.0,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
40fd0d5a-ccb7-48f6-9d14-c05718cadda2,Lexar NM620,140.08,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
d562ba39-5cce-4ba2-887b-d7b042e69f82,PNY CS2140,49.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
e44e2c9a-f6af-44d0-af6f-99c554a0ec4d,Western Digital Blue,39.99,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s
e4dd82e3-b18e-4be5-bc6a-b7887d3dca5f,Samsung 990 Pro w/Heatsink,89.99,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
1c5321d0-659c-4c0a-8ed6-ee7cb4c36db4,Western Digital Caviar Blue,23.5,500.0,7200,16.0,3.5,SATA 6.0 Gb/s
a1e211e4-b0a0-46d3-ae1b-d05488d40588,Corsair MP600 PRO XT,129.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
0e614c9f-80dd-4721-a877-99b279fdf91b,Seagate IronWolf NAS,79.99,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s
4de3ca4b-33c4-45fd-af20-8b3bb6e02148,Seagate Momentus Thin,13.99,500.0,5400,16.0,2.5,SATA 3.0 Gb/s
6dbf4692-f08f-4e4c-acc9-411bab4ecd6f,MSI SPATIUM M450,90.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
5eb99f56-88cc-468e-85ec-b0f423d3181d,Seagate Exos X22,532.83,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s
df9319d3-d7ca-46eb-922a-665149f193f8,Silicon Power UD90,167.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
be0dd750-8699-4830-80e7-28de1d467471,TEAMGROUP T-Force Vulcan Z,149.99,4000.0,SSD,,2.5,SATA 6.0 Gb/s
eb986d9e-e111-4ae7-a3ad-46acc0aab4f6,Samsung 850 Evo,,500.0,SSD,,2.5,SATA 6.0 Gb/s
